Name,Ingredients,Cooking Time,Country,Meals
Garlic Pork,"[""Pork"",""Garlic"",""Vinegar"",""Spices""]",70,Guyana ,Dinner
Monaco Breakfast,"[""Eggs"",""Bacon"",""Toast"",""Coffee""]",15,Monaco ,Breakfast
Croissant Breakfast,"[""Croissant"",""Jam"",""Butter"",""Tea""]",10,Monaco ,Breakfast
Monaco Salad,"[""Salad"",""Bread"",""Cheese"",""Fruits""]",20,Monaco ,Lunch
Pasta Lunch,"[""Pasta"",""Tomato Sauce"",""Meatballs"",""Vegetables""]",30,Monaco ,Lunch
Steak Dinner,"[""Steak"",""Potatoes"",""Asparagus"",""Wine""]",45,Monaco ,Dinner
Fish Dinner,"[""Fish"",""Rice"",""Vegetables"",""Lemon""]",35,Monaco ,Dinner
Egg Tart,"[""Eggs"",""Sugar"",""Flour"",""Butter"",""Milk""]",30,Macau ,Breakfast
Pork Chop Bun,"[""Pork Chop"",""Bun"",""Garlic"",""Soy Sauce""]",20,Macau ,Breakfast
Almond Cookies,"[""Almond Flour"",""Sugar"",""Egg White"",""Almond Extract""]",25,Macau ,Lunch
Shrimp Roe Noodles,"[""Noodles"",""Shrimp Roe"",""Soy Sauce"",""Green Onions""]",15,Macau ,Lunch
African Chicken,"[""Chicken"",""Coconut Milk"",""Peanuts"",""Chili"",""Garlic""]",45,Macau ,Dinner
Minchi,"[""Ground Meat"",""Molasses"",""Potatoes"",""Onions"",""Soy Sauce""]",35,Macau ,Dinner
Nasi Lemak,"[""Eggs"",""Toast"",""Butter"",""Jam""]",15,Brunei ,Breakfast
Kuih Mor,"[""Cereal"",""Milk"",""Fruits""]",5,Brunei ,Breakfast
Ambuyat,"[""Rice"",""Chicken"",""Vegetables"",""Spices""]",45,Brunei ,Lunch
Belutak,"[""Noodles"",""Beef"",""Vegetables"",""Soy Sauce""]",30,Brunei ,Lunch
Udang Sambal Serai,"[""Fish"",""Rice"",""Vegetables"",""Sambal""]",60,Brunei ,Dinner
Nasi Katok,"[""Chicken"",""Rice"",""Vegetables"",""Sauce""]",40,Brunei ,Dinner
Rusks,"[""Flour"",""Sugar"",""Butter"",""Eggs"",""Baking Powder""]",15,South Africa ,Breakfast
Biltong,"[""Beef"",""Vinegar"",""Salt"",""Pepper"",""Coriander""]",20,South Africa ,Breakfast
Bunny Chow,"[""Bread"",""Curry"",""Potatoes"",""Meat"",""Spices""]",30,South Africa ,Lunch
Bobotie,"[""Mince"",""Egg"",""Milk"",""Bread"",""Curry Powder""]",45,South Africa ,Lunch
Potjiekos,"[""Meat"",""Vegetables"",""Potatoes"",""Carrots"",""Onions""]",60,South Africa ,Dinner
Malva Pudding,"[""Flour"",""Sugar"",""Butter"",""Eggs"",""Apricot Jam""]",50,South Africa ,Dinner
