"Name","Pokedex Number","Type1","Type2","Classification","Height (m)","Weight (kg)","Abilities","Generation","Legendary Status","Ecology"
"Metapod","11","Bug","","Cocoon Pokémon","0.7","9.9","Shed-skin","1","No","Metapod inhabit forests and wooded areas, often attached to tree trunks or branches. They are in a pupal stage and do not actively feed. Metapod are solitary Pokémon and spend most of their time motionless, conserving energy as they undergo metamorphosis. They have a hardened exoskeleton and are vulnerable to predators during this stage. They are patient and resilient, awaiting the transformation into their final form."
"Butterfree","12","Bug","Flying","Butterfly Pokémon","1.1","32","Compound-eyes, Tinted-lens","1","No","Butterfree live in forests, meadows, and gardens, often near flowering plants. They feed on nectar from flowers, using their long proboscis to extract nutrients. Butterfree are social Pokémon and gather in large groups during mating season. They are gentle and graceful creatures, known for their vibrant wings and are considered symbols of beauty and transformation."
"Weedle","13","Bug","Poison","Hairy Bug Pokémon","0.3","3.2","Shield-dust, Run-away","1","No","Weedle are found in forests, grasslands, and wooded areas. They are herbivores that consume leaves and other plant matter. Weedle are typically solitary and are known for their timid nature, using their poisonous stinger as a defense mechanism. They camouflage among foliage to avoid detection."
"Kakuna","14","Bug","Poison","Cocoon Pokémon","0.6","10","Shed-skin","1","No","Kakuna inhabit forests and wooded areas, similar to Weedle. They are in a pupal stage, attaching themselves to trees to undergo metamorphosis. Kakuna are sedentary, remaining motionless while they develop into Beedrill, and they are solitary creatures during this pupal stage."
"Beedrill","15","Bug","Poison","Poison Bee Pokémon","1","29.5","Swarm, Sniper","1","No","Beedrill frequent forests and grasslands, and they often nest in colonies. They are carnivorous, preying on smaller insects and other invertebrates. Beedrill are social Pokémon, living in groups led by a Queen Beedrill. They can be aggressive, using their venomous stingers to defend their territory and nests."
"Pidgey","16","Normal","Flying","Tiny Bird Pokémon","0.3","1.8","Keen-eye, Tangled-feet, Big-pecks","1","No","Pidgey are commonly found in grassy fields and forests near human settlements. They form small flocks and forage for seeds and berries. Pidgey are generally docile and easily approachable, making them popular among novice trainers."
"Pidgeotto","17","Normal","Flying","Bird Pokémon","1.1","30","Keen-eye, Tangled-feet, Big-pecks","1","No","Pidgeotto are found in forests and woodlands, often nesting in tall trees. They are territorial and hunt for smaller prey such as Wurmple and Caterpie. Pidgeotto are more assertive than Pidgey and require a trainer with a confident demeanor."
"Pidgeot","18","Normal","Flying","Bird Pokémon","1.5","39.5","Keen-eye, Tangled-feet, Big-pecks","1","No","Pidgeot soar over vast plains and mountainous regions. They are apex predators, capable of hunting larger prey like Magikarp and Pidove. Pidgeot are proud and majestic, forming strong bonds with trainers who earn their respect through strength and kindness."
"Rattata","19","Normal","","Mouse Pokémon","0.3","3.5","Run-away, Guts, Hustle","1","No","Rattata thrive in urban environments, fields, and forests, scavenging for food. They have a diet consisting of berries, nuts, and discarded food items. Highly adaptable, Rattata are known for their ability to quickly reproduce. These Pokémon are often considered pests due to their large numbers and tendency to invade human settlements."
"Raticate","20","Normal","","Mouse Pokémon","0.7","18.5","Run-away, Guts, Hustle","1","No","Raticate are adaptable and inhabit diverse environments, including urban areas and forests. They are nocturnal predators, feeding on various foods, including berries, nuts, and small animals. Known for their large teeth that constantly grow, Raticate need to gnaw on hard objects to keep them filed down. These Pokémon are highly intelligent and can be quite territorial."
"Spearow","21","Normal","Flying","Tiny Bird Pokémon","0.3","2","Keen-eye, Sniper","1","No","Spearow live in grasslands and fields, often near farms and ranches, where they feed on insects and seeds. These Pokémon have a habit of pecking at the ground in search of food. Spearow are territorial and can be aggressive, especially when defending their nests. They form flocks, led by a more powerful Spearow."
"Fearow","22","Normal","Flying","Beak Pokémon","1.2","38","Keen-eye, Sniper","1","No","Fearow are typically found in open fields, mountains, and rocky terrains. They are solitary hunters, preying on smaller Pokémon and insects. Fearow are known for their exceptional flying speed and agility. Their long beaks are well-suited for snatching prey from both land and water. These Pokémon are proud and aloof."
"Ekans","23","Poison","","Snake Pokémon","2","6.9","Intimidate, Shed-skin, Unnerve","1","No","Ekans inhabit grasslands, forests, and rocky areas, often blending into the environment with their patterned skin. They feed on small rodents and insects, constricting their prey before consuming it. Solitary hunters, Ekans are commonly found basking in the sun during the day and are more active during the night."
"Arbok","24","Poison","","Cobra Pokémon","3.5","65","Intimidate, Shed-skin, Unnerve","1","No","Arbok prefer tropical and subtropical climates, inhabiting forests and jungles. These Pokémon are solitary predators, feeding on small mammals and birds. Arbok are known for the intimidating patterns on their hoods, which they use to scare off potential threats. They are nocturnal and can be quite aggressive."
"Pikachu","25","Electric","","Mouse Pokémon","0.4","6","Static, Lightning-rod","1","No","Pikachu are found in forests, meadows, and occasionally near human settlements. They typically live in small groups and communicate using electrical signals. Pikachu eat berries, nuts, and fruits, storing electricity in their cheek pouches. Friendly and curious, Pikachu are known for their playful behavior and willingness to bond with humans."
"Raichu","26","Electric","","Mouse Pokémon","0.8","30","Static, Lightning-rod","1","No","Raichu are commonly found in forests, grasslands, and urban areas. These Pokémon tend to be solitary and are more active during the day. They consume berries, nuts, and seeds, charging their bodies with electricity. Raichu can store large amounts of electricity, sometimes needing to discharge excess energy to avoid overloads. While usually calm, Raichu can become aggressive when threatened."
"Sandshrew","27","Ground","","Mouse Pokémon","0.6","12","Sand-veil, Sand-rush","1","No","Sandshrew typically reside in arid and semi-arid environments, such as deserts and rocky terrains. They burrow underground to escape extreme heat and predators. These Pokémon primarily eat insects and roots, using their claws to dig them up. Solitary creatures, Sandshrew are known for their shy nature, often curling into a ball when threatened."
"Sandslash","28","Ground","","Mouse Pokémon","1","29.5","Sand-veil, Sand-rush","1","No","Sandslash prefer arid and mountainous regions, where they dig elaborate tunnels for shelter and hibernation. They hunt for insects and small Pokémon, using their sharp claws and thick scales for defense. Sandslash are mostly solitary creatures, fiercely defending their territories from intruders. They can also curl into a spiked ball to protect themselves."
"Nidoran-f","29","Poison","","Poison Pin Pokémon","0.4","7","Poison-point, Rivalry, Hustle","1","No","Nidoran♀ can be found in grassy plains and fields, often living in colonies with other Nidoran. These Pokémon primarily feed on berries and plant roots. They have a gentle nature but can become defensive when protecting their young or territory. Nidoran♀ communicate using a variety of calls and scents."
"Nidorina","30","Poison","","Poison Pin Pokémon","0.8","20","Poison-point, Rivalry, Hustle","1","No","Nidorina are typically found in grasslands and plains, living in herds with other Nidoran. These Pokémon forage for berries and roots, often wandering long distances in search of food. Nidorina are maternal and protective of their young, displaying more assertiveness than Nidoran♀. They use their horns for defense and communication."
"Nidoqueen","31","Poison","Ground","Drill Pokémon","1.3","60","Poison-point, Rivalry, Sheer-force","1","No","Nidoqueen are often found in grasslands and plains, establishing complex tunnel systems. They are herbivores, consuming roots, berries, and leafy plants. Nidoqueen are social creatures, living in small family groups led by the strongest female. They are known for their protective nature, especially towards their young."
"Nidoran-m","32","Poison","","Poison Pin Pokémon","0.5","9","Poison-point, Rivalry, Hustle","1","No","Nidoran-m are commonly found in grassy areas and fields. They are omnivores, feeding on seeds, insects, and berries. These Pokémon tend to be solitary, marking their territory with their toxic horn. They are often cautious and easily startled."
"Nidorino","33","Poison","","Poison Pin Pokémon","0.9","19.5","Poison-point, Rivalry, Hustle","1","No","Nidorino are found in fields and plains. They are primarily herbivores but occasionally eat insects. Nidorino tend to be solitary and are territorial, often engaging in battles with other Nidorino. They are known for their aggressive nature."
"Nidoking","34","Poison","Ground","Drill Pokémon","1.4","62","Poison-point, Rivalry, Sheer-force","1","No","Nidoking inhabit grassy plains and savannas, digging deep burrows for shelter. They are omnivores, with a diet consisting of plants, roots, and small animals. Nidoking are territorial and solitary, fiercely defending their domain. They are aggressive and powerful."
"Clefairy","35","Fairy","","Fairy Pokémon","0.6","7.5","Cute-charm, Magic-guard, Friend-guard","1","No","Clefairy live in mountainous regions, particularly in areas with lunar energy. They are herbivores, consuming berries and fruits. Clefairy are social and live in groups, often dancing under the moonlight. They are shy and gentle Pokémon."
"Clefable","36","Fairy","","Fairy Pokémon","1.3","40","Cute-charm, Magic-guard, Unaware","1","No","Clefable are found in quiet, mountainous areas, preferring locations with high concentrations of moonlight. They primarily consume forest fruits and berries, often seeking out the sweetest varieties. Clefable are social creatures, living in small, tight-knit groups. They are known for their gentle nature and soothing presence."
"Vulpix","37","Fire","","Fox Pokémon","0.6","9.9","Flash-fire, Drought","1","No","Vulpix are commonly found in grasslands and forests near volcanic areas. They are omnivores, eating berries, insects, and small rodents. Vulpix are social and live in small packs. They are known for their playful and mischievous personality."
"Ninetales","38","Fire","","Fox Pokémon","1.1","19.9","Flash-fire, Drought","1","No","Ninetales are found in mountainous regions and grasslands, especially near sources of natural fire. They are carnivores, hunting small animals. Ninetales are solitary and highly intelligent. They are known for their elegance and wisdom."
"Jigglypuff","39","Normal","Fairy","Balloon Pokémon","0.5","5.5","Cute-charm, Competitive, Friend-guard","1","No","Jigglypuff inhabit grassy areas and forests. They are herbivores, eating berries and sweet fruits. Jigglypuff are generally solitary but can gather in small groups. They are known for their singing abilities and their tendency to draw on the faces of those who fall asleep during their performances."
"Wigglytuff","40","Normal","Fairy","Balloon Pokémon","1","12","Cute-charm, Competitive, Frisk","1","No","Wigglytuff inhabit lush forests and meadows. They are omnivores, eating berries, fruits, and small insects. Wigglytuff are social creatures, living in small, friendly groups. They are known for their soft, plush fur and gentle nature."
"Zubat","41","Poison","Flying","Bat Pokémon","0.8","7.5","Inner-focus, Infiltrator","1","No","Zubat live in dark caves and forests, avoiding sunlight. They are hematophagous, feeding on the blood of other creatures. Zubat are social and live in large colonies. They navigate using echolocation and are most active at night."
"Golbat","42","Poison","Flying","Bat Pokémon","1.6","55","Inner-focus, Infiltrator","1","No","Golbat reside in dark caves and ruins, avoiding sunlight. They are hematophagous, consuming blood from other creatures. Golbat are social and live in colonies. They navigate using echolocation and are most active during the night. They are known for their stealth and ability to sneak up on prey."
"Oddish","43","Grass","Poison","Weed Pokémon","0.5","5.4","Chlorophyll, Run-away","1","No","Oddish are found in grassy fields and forests. They are primarily herbivores, absorbing nutrients from the soil and consuming sunlight through their leaves. Oddish are social, often congregating in groups. They are known for their nocturnal behavior, burying themselves in the soil during the day."
"Gloom","44","Grass","Poison","Weed Pokémon","0.8","8.6","Chlorophyll, Stench","1","No","Gloom inhabit forests and damp areas. They are primarily herbivores, absorbing nutrients from the soil and feeding on decaying matter. Gloom are often solitary. They are known for their foul odor, which attracts prey."
"Vileplume","45","Grass","Poison","Flower Pokémon","1.2","18.6","Chlorophyll, Effect-spore","1","No","Vileplume inhabit lush forests and meadows. They are herbivores, absorbing nutrients from the soil and pollinating other plants. Vileplume are often solitary, using their large petals to attract prey. They are known for their vibrant colors and strong pollen."
"Paras","46","Bug","Grass","Mushroom Pokémon","0.3","5.4","Effect-spore, Dry-skin, Damp","1","No","Paras inhabit damp, dark forests, often found beneath decaying logs where they feed on tree roots. They have a symbiotic relationship with the mushroom growing on their back, which leeches nutrients from the Pokémon. These mushrooms can also release spores for reproduction. Paras are generally solitary, although several may gather in areas rich in food. They tend to be shy and docile."
"Parasect","47","Bug","Grass","Mushroom Pokémon","1","29.5","Effect-spore, Dry-skin, Damp","1","No","Parasect are commonly found in forests with damp, shaded environments, where they can sustain themselves by absorbing nutrients from tree roots and the forest floor. They are primarily solitary, driven by the giant mushroom on their back. The mushroom dictates their actions, making them zombie-like. They are known to swarm forests, stripping them bare to feed the fungus."
"Venonat","48","Bug","Poison","Insect Pokémon","1","30","Compound-eyes, Tinted-lens, Run-away","1","No","Venonat are nocturnal Pokémon, often found in forests and grasslands. They are attracted to bright lights and gather around streetlamps or illuminated buildings at night. They have a diet consisting primarily of insects, which they locate using their large compound eyes. Venonat are solitary hunters, often seen fluttering around in search of prey. They are known for their calm demeanor."
"Venomoth","49","Bug","Poison","Poison Moth Pokémon","1.5","12.5","Shield-dust, Tinted-lens, Wonder-skin","1","No","Venomoth are nocturnal Pokémon found in forests and grasslands, often near bodies of water. They feed on plant sap and pollen, using their wings to dust these materials. They navigate using their scales as sonar and can release poisonous powder as a defense mechanism. They tend to be solitary creatures except during mating season."
"Diglett","50","Ground","","Mole Pokémon","0.2","0.8","Sand-veil, Arena-trap, Sand-force","1","No","Diglett live underground in burrows, typically found in fields and gardens. They feed on plant roots and insects they find in the soil. Diglett create networks of tunnels, aerating the soil and supporting plant growth. They tend to live in small groups and are rarely seen above ground."
"Dugtrio","51","Ground","","Mole Pokémon","0.7","33.3","Sand-veil, Arena-trap, Sand-force","1","No","Dugtrio live underground in intricate networks of tunnels, primarily in fields and rocky terrains. They feed on roots and small insects, creating tunnels that aerate the soil. Dugtrio often collaborate within their trio, exhibiting coordinated behavior for digging and foraging. They tend to live in small, tight-knit groups."
"Meowth","52","Normal","","Scratch Cat Pokémon","0.4","4.2","Pickup, Technician, Unnerve","1","No","Meowth are commonly found in urban areas, scavenging for food and shiny objects. They are nocturnal and often seen prowling rooftops and alleys. Their diet includes scraps and discarded food items. Meowth are social creatures, often forming gangs and engaging in playful fights. They are known for their cunning and love of collecting coins."
"Persian","53","Normal","","Classy Cat Pokémon","1","32","Limber, Technician, Unnerve","1","No","Persian are commonly found in urban areas, often kept as pets by wealthy trainers. They prefer clean environments and are meticulously groomed. Their diet includes high-quality cat food and treats. Persian are solitary creatures, preferring to be alone and showing a regal demeanor. They are known for their elegance and charm."
"Psyduck","54","Water","","Duck Pokémon","0.8","19.6","Damp, Cloud-nine, Swift-swim","1","No","Psyduck live in freshwater environments, such as lakes and ponds, where they hunt for aquatic plants and small fish. They are clumsy and often cause accidental chaos. Psyduck tend to live in small groups, and their personalities vary. Some are forgetful and spacey, while others are stressed and prone to headaches."
"Golduck","55","Water","","Duck Pokémon","1.7","76.6","Damp, Cloud-nine, Swift-swim","1","No","Golduck inhabit freshwater environments, like lakes and rivers, feeding on fish and aquatic plants. They are skilled swimmers and are often found diving to great depths. Golduck live in small, loose groups and are known for their intelligence and graceful movements. They can be territorial and are generally calm unless provoked."
"Mankey","56","Fighting","","Pig Monkey Pokémon","0.5","28","Vital-spirit, Anger-point, Defiant","1","No","Mankey are typically found in mountainous and rocky terrains, living in trees, they feed on berries and fruits. They are highly territorial and known for their volatile tempers. Mankey live in small groups, constantly competing for dominance. They are easily agitated and prone to fits of rage."
"Primeape","57","Fighting","","Pig Monkey Pokémon","1","32","Vital-spirit, Anger-point, Defiant","1","No","Primeape inhabit mountainous regions, living in caves, feeding on plants and berries, they are territorial and extremely aggressive. Primeape are solitary Pokémon and spend most of their time seeking a strong opponent. Known to chase anyone who makes them angry."
"Growlithe","58","Fire","","Puppy Pokémon","0.7","19","Intimidate, Flash-fire, Justified","1","No","Growlithe are found in grassy plains and rocky terrains, living in small packs and maintaining watch over their territory, Growlithe are extremely loyal, courageous, and protective Pokémon, which makes them suitable partners for trainers. Growlithe are typically energetic."
"Arcanine","59","Fire","","Legendary Pokémon","1.9","155","Intimidate, Flash-fire, Justified","1","No","Arcanine inhabit grassy plains and rocky terrains, often guarding their territory alongside their pack. Arcanine are known for their loyalty and speed and are often employed as assistance for people. While Arcanine are known to travel on their own, they are generally found within packs, following an Alpha. Arcanine are extremely loyal and willing to sacrifice themselves."
"Poliwag","60","Water","","Tadpole Pokémon","0.6","12.4","Water-absorb, Damp, Swift-swim","1","No","Poliwag live in freshwater environments such as ponds and rivers. They swim using their long tails and are often seen near the water's surface. Poliwag are social creatures and live in large groups, swimming together in search of food. They filter feed on algae and microorganisms."
"Poliwhirl","61","Water","","Tadpole Pokémon","1","20","Water-absorb, Damp, Swift-swim","1","No","Poliwhirl is found in freshwater habitats like rivers and lakes. They feed on small aquatic plants and insects. They are social creatures, often seen in small groups. Poliwhirl are known to be playful and energetic, enjoying swimming and splashing around."
"Poliwrath","62","Water","Fighting","Tadpole Pokémon","1.3","54","Water-absorb, Damp, Swift-swim","1","No","Poliwrath inhabits freshwater environments, preferring areas with dense vegetation for hunting. They have a carnivorous diet, feeding on fish and other small aquatic creatures. Poliwrath are solitary hunters, fiercely defending their territory. They are known for their powerful muscles and competitive nature."
"Abra","63","Psychic","","Psi Pokémon","0.9","19.5","Synchronize, Inner-focus, Magic-guard","1","No","Abra is rarely found in the wild, preferring to teleport to safe locations when sensing danger. Their diet is unknown, as they spend most of their time sleeping and using their psychic abilities. Abra are typically solitary and are known for their elusive nature and high intelligence."
"Kadabra","64","Psychic","","Psi Pokémon","1.3","56.5","Synchronize, Inner-focus, Magic-guard","1","No","Kadabra are often found in urban environments, using their psychic abilities to assist people. They have a varied diet, eating fruits, nuts, and occasionally small prey. Kadabra are solitary Pokémon, focusing on honing their psychic powers. They are known for their calm demeanor and telekinetic abilities."
"Alakazam","65","Psychic","","Psi Pokémon","1.5","48","Synchronize, Inner-focus, Magic-guard","1","No","Alakazam are typically found in quiet, secluded areas where they can meditate and focus their psychic energy. They do not need to consume food, as their minds provide all the energy they require. Alakazam are highly intelligent and solitary, dedicating their lives to mastering their psychic abilities."
"Machop","66","Fighting","","Superpower Pokémon","0.8","19.5","Guts, No-guard, Steadfast","1","No","Machop typically lives in mountainous regions, training to improve their strength and fighting skills. They have a protein-rich diet, eating nuts, berries, and occasionally small Pokémon. Machop often live in small groups, sparring and training together. They are known for their eagerness to train and friendly competition."
"Machoke","67","Fighting","","Superpower Pokémon","1.5","70.5","Guts, No-guard, Steadfast","1","No","Machoke are commonly found in gyms and training centers, constantly working to build their muscles. They have a diet consisting of protein-rich foods like meat and nuts. Machoke are often seen training with others, helping them improve their skills. They are known for their tough and disciplined nature."
"Machamp","68","Fighting","","Superpower Pokémon","1.6","130","Guts, No-guard, Steadfast","1","No","Machamp lives in mountainous areas and forests, where they train their fighting skills. They eat a variety of foods, including fruits, berries, and meat. Machamp are often solitary, spending their time honing their strength. They are known for their chivalry and desire to protect the weak."
"Bellsprout","69","Grass","Poison","Flower Pokémon","0.7","4","Chlorophyll, Gluttony","1","No","Bellsprout can be found in lush forests and grasslands, where they absorb sunlight and nutrients through their leaves. They have a carnivorous diet, using their vines to capture unsuspecting insects. Bellsprout are usually solitary, blending in with the surrounding vegetation. They are known for their docile nature and ability to digest almost anything."
"Weepinbell","70","Grass","Poison","Flycatcher Pokémon","1","6.4","Chlorophyll, Gluttony","1","No","Weepinbell dwells in dense jungles and forests, often hanging from tree branches to ambush prey. They secrete a sweet scent to attract insects, which they then devour. Weepinbell are typically solitary hunters. They are known for their cunning and their ability to dissolve their prey with acidic fluids."
"Victreebel","71","Grass","Poison","Flycatcher Pokémon","1.7","15.5","Chlorophyll, Gluttony","1","No","Victreebel can be found in dense rainforests, where they use their enticing aroma to lure unsuspecting prey into their gaping mouths. Their diet consists of insects, small Pokémon, and even larger prey if they can manage to trap them. Victreebel are solitary hunters, patiently waiting for their next meal. They are known for their aggressive behavior and ability to digest almost anything."
"Tentacool","72","Water","Poison","Jellyfish Pokémon","0.9","45.5","Clear-body, Liquid-ooze, Rain-dish","1","No","Tentacool inhabits shallow coastal waters and coral reefs, where they drift along with the ocean currents. They feed on small fish and algae, using their tentacles to stun their prey. Tentacool are often found in large groups, creating dangerous swarms for swimmers. They are known for their venomous sting and tendency to react defensively when threatened."
"Tentacruel","73","Water","Poison","Jellyfish Pokémon","1.6","55","Clear-body, Liquid-ooze, Rain-dish","1","No","Tentacruel lives in deep ocean waters and coastal regions. They can be found near coral reefs or shipwrecks, ambushing prey from the shadows. Tentacruel use their tentacles to ensnare and poison their prey before consuming them. Tentacruel can be aggressive if they feel their territory is being challenged."
"Geodude","74","Rock","Ground","Rock Pokémon","0.4","20","Rock-head, Sturdy, Sand-veil","1","No","Geodude lives in mountainous regions and rocky terrains. The skin is extremely hard due to the terrain. Geodude usually stay in groups."
"Graveler","75","Rock","Ground","Rock Pokémon","1","105","Rock-head, Sturdy, Sand-veil","1","No","Graveler tends to live in mountainous regions along other Geodude, but will leave the group to go live on its own when it evolves."
"Golem","76","Rock","Ground","Megaton Pokémon","1.4","300","Rock-head, Sturdy, Sand-veil","1","No","Golems are typically found in mountainous regions, where they blend in with the rocky terrain. They feed on rocks and minerals, which they crush with their immense strength. Golems are solitary creatures, and are known for their protective nature. They are often found defending their territory from intruders."
"Ponyta","77","Fire","","Fire Horse Pokémon","1","30","Run-away, Flash-fire, Flame-body","1","No","Ponyta are commonly found in grasslands and plains. Their diet consists of grasses and berries. Ponyta are herd animals and often travel in groups. These Pokémon are known to be energetic and friendly."
"Rapidash","78","Fire","","Fire Horse Pokémon","1.7","95","Run-away, Flash-fire, Flame-body","1","No","Rapidash inhabits grassy plains and open fields, galloping at tremendous speeds. Its diet consists primarily of grasses and foliage. Rapidash are known to be competitive and display great courage and are commonly found in the wild with herds of Ponyta."
"Slowpoke","79","Water","Psychic","Dopey Pokémon","1.2","36","Oblivious, Own-tempo, Regenerator","1","No","Slowpoke inhabit freshwater environments such as ponds and rivers. They subsist on aquatic plants and small fish, though they are not particularly active hunters. Slowpoke are often found in groups, exhibiting a docile and relaxed nature."
"Slowbro","80","Water","Psychic","Hermit Crab Pokémon","1.6","78.5","Oblivious, Own-tempo, Regenerator","1","No","Slowbro frequents coastal regions, both freshwater and saltwater habitats. It shares a symbiotic relationship with Shellder, which clamps onto its tail. Slowbro's diet is supplemented by Shellder's hunting efforts, and they generally display a calm and somewhat dim-witted demeanor."
"Magnemite","81","Electric","Steel","Magnet Pokémon","0.3","6","Magnet-pull, Sturdy, Analytic","1","No","Magnemite are usually found in power plants, substations, and other areas with strong electromagnetic fields, from which they obtain energy. They consume electricity as their primary source of sustenance. They often gather in groups. Magnemite are generally curious and inquisitive, but can also be mischievous."
"Magneton","82","Electric","Steel","Magnet Pokémon","1","60","Magnet-pull, Sturdy, Analytic","1","No","Magneton are often found in areas with strong electromagnetic fields, like power plants and substations. These Pokémon consume electricity. Magneton typically forms packs consisting of three Magnemite. Magneton are known for their ability to disrupt electronic devices."
"Farfetchd","83","Normal","Flying","Wild Duck Pokémon","0.8","15","Keen-eye, Inner-focus, Defiant","1","No","Farfetch'd can be found in grasslands and wetlands, where they forage for food, usually plants. They carry a leek stalk with them at all times. They feed on seeds, berries, and insects. Farfetch'd are typically solitary, and are territorial, using their leek to defend themselves and are often seen with their trademark leek."
"Doduo","84","Normal","Flying","Twin Bird Pokémon","1.4","39.2","Run-away, Early-bird, Tangled-feet","1","No","Doduo are commonly found in grassy plains and savannas, where they roam in small flocks. They feed on seeds, berries, and insects. Doduo are known for their incredible speed. These Pokémon often display an energetic and somewhat skittish temperament."
"Dodrio","85","Normal","Flying","Triple Bird Pokémon","1.8","85.2","Run-away, Early-bird, Tangled-feet","1","No","Dodrio inhabits open plains and grasslands, forming flocks to hunt and forage. They primarily feed on insects, seeds, and berries. Dodrio are known for their keen senses, vigilance, and remarkable running speed. They are typically skittish and alert, with each head often displaying a different personality."
"Seel","86","Water","","Sea Lion Pokémon","1.1","90","Thick-fat, Hydration, Ice-body","1","No","Seel lives in cold waters, typically near icebergs and arctic regions. It consumes fish and marine plants. Seel are often found in groups, are friendly and playful. They are typically docile, and rely on their blubber for protection in frigid environments."
"Dewgong","87","Water","Ice","Sea Lion Pokémon","1.7","120","Thick-fat, Hydration, Ice-body","1","No","Dewgong are found in arctic oceans and icy waters, dwelling near icebergs and frozen landscapes. Their diet consists of fish, seaweed, and other marine organisms. Dewgong are known to be calm, graceful, and solitary, they are typically seen floating leisurely in icy seas."
"Grimer","88","Poison","","Sludge Pokémon","0.9","30","Stench, Sticky-hold, Poison-touch","1","No","Grimer frequents polluted waters and industrial areas. It feeds on sludge and waste. Grimer are solitary and nocturnal creatures. These Pokémon adapt well to harsh conditions."
"Muk","89","Poison","","Sludge Pokémon","1.2","30","Stench, Sticky-hold, Poison-touch","1","No","Muk inhabits polluted waters and industrial zones, where it feeds on sludge, toxins, and other waste materials. Muk are typically solitary creatures with aggressive tendencies. These Pokémon possess a high tolerance for environmental hazards."
"Shellder","90","Water","","Bivalve Pokémon","0.3","4","Shell-armor, Skill-link, Overcoat","1","No","Shellder typically inhabits coastal waters and seabeds. They feed on algae and plankton, filtering nutrients from the water. Shellder are solitary creatures with a defensive nature, sheltering within their hard shells."
"Cloyster","91","Water","Ice","Bivalve Pokémon","1.5","132.5","Shell-armor, Skill-link, Overcoat","1","No","Cloyster primarily lives in cold ocean waters and is often found near icebergs or underwater caves. It feeds on plankton and small fish, filtering the water with its hard shell. Cloyster is typically solitary, protecting itself by clamping its shell shut, making it very difficult to attack."
