Name,Ingredients,Cooking Time,Cuisine,Meal,Difficulty Level
Croque Monsieur,"[""Bread"",""Ham"",""Cheese"",""Bechamel Sauce""]",20,French,Lunch,2
Goi Cuon,"[""Rice Paper"",""Shrimp"",""Pork"",""Vegetables"",""Rice Noodles""]",30,Vietnamese,Appetizers,3
Paella,"[""Rice"",""Saffron"",""Seafood"",""Chicken"",""Vegetables""]",60,Spanish,Lunch,4
Churros,"[""Flour"",""Water"",""Sugar"",""Cinnamon""]",35,Mexican,Desserts,2
Tamagoyaki,"[""Eggs"",""Soy Sauce"",""Sugar"",""Mirin""]",15,Japanese,Breakfast,1
Menemen,"[""Tomatoes"",""Peppers"",""Eggs"",""Onion"",""Spices""]",25,Turkish,Lunch,2
Buffalo Wings,"[""Chicken Wings"",""Hot Sauce"",""Butter"",""Vinegar""]",40,American,Appetizers,2
Lemonade,"[""ice"",""soda"",""lemon""]",5,American,Drinks,1
Gavurdagi Salad,"[""feta cheese"",""olives"",""tomatoes"",""cucumber""]",10,Turkish,Appetizers,2
Quesadillas,"[""tortillas"",""chicken"",""cheese"",""salsa""]",30,Mexican,Lunch,3
Baklava,"[""phyllo dough"",""walnuts"",""cinnamon"",""sugar syrup""]",45,Lebanese,Desserts,4
Éclair,"[""puff pastry"",""cream"",""chocolate""]",60,French,Lunch,3
Pad Thai,"[""rice noodles"",""shrimp"",""vegetables"",""peanut sauce""]",20,Thai,Dinner,2
Sushi,"[""rice"",""seaweed"",""tuna"",""avocado""]",15,Japanese,Lunch,2
Bibimbap,"[""rice"",""vegetables"",""beef"",""gochujang""]",25,Korean,Lunch,3
Spanakopita,"[""phyllo dough"",""spinach"",""feta cheese"",""eggs""]",35,Greek,Desserts,4
Injera with Wat,"[""injera"",""stew"",""vegetables"",""spices""]",40,Ethiopian,Lunch,3
Frappe,"[""Espresso"",""Ice"",""Milk"",""Sugar""]",5,Mediterranean,Drinks,1
Sesame Balls,"[""Glutinous rice flour"",""Sesame seeds"",""Red bean paste"",""Sugar"",""Oil""]",40,Chinese,Desserts,3
Brigadeiro,"[""Condensed milk"",""Cocoa powder"",""Butter"",""Chocolate sprinkles""]",20,Brazilian,Desserts,2
Paella,"[""Rice"",""Saffron"",""Chicken"",""Seafood"",""Vegetables""]",60,Spanish,Dinner,3
Gulab Jamun,"[""Milk powder"",""All-purpose flour"",""Ghee"",""Sugar"",""Cardamom"",""Rose water""]",50,Indian,Desserts,4
Radler,"[""Beer"",""Lemonade""]",3,German,Drinks,1
Ceviche,"[""White fish"",""Lime juice"",""Red onion"",""Cilantro"",""Aji peppers""]",25,Peruvian,Lunch,3
Tiramisu,"[""Ladyfingers"",""Espresso"",""Mascarpone cheese"",""Eggs"",""Sugar"",""Cocoa powder""]",30,Italian,Desserts,2
Chebakia,"[""Flour"",""Sesame seeds"",""Anise"",""Saffron"",""Cinnamon"",""Honey""]",60,Moroccan,Desserts,3
Pho,"[""Beef bones"",""Rice noodles"",""Beef"",""Spices"",""Herbs""]",90,Vietnamese,Dinner,4
Baklava,"[""Filo pastry"",""Walnuts"",""Butter"",""Sugar"",""Lemon juice""]",60,Turkish,Desserts,3
Kartoffelpuffer,"[""Potatoes"",""Salt"",""Pepper"",""Oil""]",20,German,Appetizers,1
Chicken Biryani,"[""Chicken"",""Basmati rice"",""Yogurt"",""Spices""]",90,Indian,Dinner,4
Tzatziki,"[""Yogurt"",""Cucumber"",""Garlic"",""Olive oil""]",10,Greek,Drinks,2
Che Chuoi,"[""Tapioca starch"",""Coconut milk"",""Sugar"",""Pandan leaves""]",45,Vietnamese,Desserts,3
Hummus,"[""Chickpeas"",""Tahini"",""Lemon juice"",""Garlic"",""Olive oil""]",15,Lebanese,Lunch,2
Mazamorra Morada,"[""Purple corn"",""Pineapple"",""Quince"",""Apple"",""Lime"",""Cinnamon"",""Clove""]",70,Peruvian,Desserts,4
Paella,"[""Rice"",""Chicken"",""Seafood"",""Peas"",""Peppers"",""Saffron""]",50,Spanish,Dinner,3
Caprese Salad,"[""Tomatoes"",""Mozzarella"",""Basil"",""Olive oil""]",20,Italian,Lunch,2
Lemonade,"[""Lemon"",""Sugar"",""Water""]",5,American,Drinks,1
Orange Juice,"[""Orange juice"",""Oranges"",""Ice""]",5,Mediterranean,Drinks,1
Doro Wat,"[""Injera"",""Doro Wat"",""Berbere spice""]",90,Ethiopian,Dinner,4
Mango Sticky Rice,"[""Mango"",""Sticky Rice"",""Coconut Milk""]",45,Thai,Desserts,3
Sake,"[""Sake"",""Rice"",""Water""]",60,Japanese,Drinks,2
Tangyuan,"[""Red Bean Paste"",""Glutinous Rice Flour"",""Sugar""]",30,Chinese,Desserts,3
Couscous,"[""Couscous"",""Vegetables"",""Spices""]",40,Moroccan,Lunch,2
Croissant,"[""Croissant"",""Butter"",""Sugar""]",25,French,Breakfast,3
Huevos Rancheros,"[""Eggs"",""Tortillas"",""Salsa""]",20,Mexican,Breakfast,2
Kimchi Fried Rice,"[""Kimchi"",""Rice"",""Eggs""]",30,Korean,Dinner,2
Pão de Queijo,"[""Pão de Queijo"",""Cheese"",""Tapioca Flour""]",35,Brazilian,Appetizers,1
Tabbouleh,"[""Bulgur"",""Parsley"",""Mint"",""Tomato"",""Onion"",""Lemon juice"",""Olive oil""]",45,Lebanese,Dinner,3
Gyeran Mari,"[""Eggs"",""Rice"",""Seaweed"",""Vegetables"",""Soy sauce""]",20,Korean,Breakfast,2
Aperol Spritz,"[""Prosecco"",""Aperol"",""Soda water"",""Orange slice""]",5,Italian,Drinks,1
Goi Cuon,"[""Rice paper"",""Shrimp"",""Vermicelli noodles"",""Vegetables"",""Peanut sauce""]",10,Vietnamese,Drinks,2
Apfelstrudel,"[""Apples"",""Flour"",""Butter"",""Sugar"",""Cinnamon""]",60,German,Desserts,3
Chicken Biryani,"[""Chicken"",""Rice"",""Spices"",""Yogurt"",""Onions""]",90,Indian,Dinner,4
Papa a la Huancaína,"[""Potatoes"",""Aji Amarillo"",""Lime juice"",""Vegetable oil""]",25,Peruvian,Appetizers,2
Greek Salad,"[""Tomatoes"",""Cucumber"",""Feta cheese"",""Olives"",""Onion"",""Olive oil""]",35,Mediterranean,Lunch,3
Beef Bourguignon,"[""Beef"",""Red wine"",""Carrots"",""Onions"",""Mushrooms"",""Bacon""]",120,French,Dinner,4
Menemen,"[""Eggs"",""Tomatoes"",""Green peppers"",""Onions"",""Spices""]",30,Turkish,Breakfast,2
Sangria,"[""Red wine"",""Orange"",""Lemon"",""Sugar"",""Cinnamon""]",10,Spanish,Drinks,2
Mango Sticky Rice,"[""Sticky rice"",""Mango"",""Coconut milk"",""Sugar"",""Salt""]",40,Thai,Breakfast,3
Souffle,"[""Egg"",""Flour"",""Sugar"",""Milk"",""Vanilla extract""]",50,Chinese,Desserts,4
Black Bean Dip,"[""Black beans"",""Onion"",""Garlic"",""Olive oil"",""Lime""]",20,Brazilian,Appetizers,2
Misir Wot,"[""Lentils"",""Onion"",""Garlic"",""Tomato paste"",""Berbere spice""]",60,Ethiopian,Lunch,3
Margarita,"[""Tequila"",""Lime juice"",""Agave nectar"",""Salt""]",5,Mexican,Drinks,1
Ouzo,"[""Ouzo"",""Water"",""Ice""]",2,Greek,Drinks,1
Mochi,"[""Mochi"",""Red bean paste"",""Sugar"",""Water""]",30,Japanese,Desserts,3
Pancakes,"[""Pancake mix"",""Milk"",""Eggs"",""Butter"",""Syrup""]",20,American,Breakfast,1
Harcha,"[""Semolina"",""Milk"",""Honey"",""Butter"",""Cinnamon""]",35,Moroccan,Breakfast,2
