Name,Ing1,Ing2,Ingredients,Cooking Time,Cuisine,Meal,Difficulty Level
Austrian Soy Sauce Yeast Smoothie,Soy Sauce,Yeast,"[""Soy Sauce"",""Yeast"",""Water"",""Lime""]",5,German,Drinks,2
Egyptian Nutmeg Heavy Cream Soup,Nutmeg,Heavy Cream,"[""Nutmeg"",""Heavy Cream"",""Chicken Broth"",""Onion"",""Garlic""]",35,Lebanese,Lunch,3
Japanese Cilantro Honey Ice Cream,Cilantro,Honey,"[""Cilantro"",""Honey"",""Milk"",""Cream"",""Sugar""]",60,Chinese,Desserts,5
Angolan Ground Beef Parsley Stew,Ground Beef,Parsley,"[""Ground Beef"",""Parsley"",""Tomatoes"",""Onion"",""Garlic""]",40,Ethiopian,Dinner,2
Korean Baking Powder Yogurt Bread,Baking Powder,Yogurt,"[""Baking Powder"",""Yogurt"",""Flour"",""Sugar"",""Eggs""]",45,Thai,Dinner,3
Kenyan Carrots Soy Sauce Salad,Carrots,Soy Sauce,"[""Carrots"",""Soy Sauce"",""Lettuce"",""Tomatoes""]",15,Mediterranean,Drinks,1
Ghanaian Salmon Tuna Sandwich,Salmon,Tuna,"[""Salmon"",""Tuna"",""Bread"",""Mayonnaise""]",20,American,Desserts,2
Colombian Mustard Mushrooms Pasta,Mustard,Mushrooms,"[""Mustard"",""Mushrooms"",""Pasta"",""Cream"",""Parmesan Cheese""]",30,Italian,Dinner,3
Canadian Pepper Ground Beef Soup,Pepper,Ground Beef,"[""Pepper"",""Ground Beef"",""Broth"",""Celery"",""Carrots""]",30,French,Lunch,2
Korean Bacon and Salt Omelet,Salt,Bacon,"[""Bacon"",""Salt"",""Eggs"",""Green Onions""]",20,Korean,Breakfast,2
Indian Bacon and Maple Syrup Dessert,Bacon,Maple Syrup,"[""Bacon"",""Maple Syrup"",""Flour"",""Sugar"",""Nuts""]",35,Indian,Desserts,3
Greek Olive Oil and Jam Cake,Olive Oil,Jam,"[""Olive Oil"",""Jam"",""Flour"",""Sugar"",""Eggs""]",40,Greek,Desserts,3
Vietnamese Cilantro and Salt Soda,Cilantro,Salt,"[""Cilantro"",""Salt"",""Lime"",""Soda Water""]",5,Vietnamese,Drinks,1
Mexican Sour Cream and Pepper Flan,Sour Cream,Pepper,"[""Sour Cream"",""Pepper"",""Eggs"",""Vanilla""]",45,Mexican,Desserts,4
British Carrots and Onion Soup,Carrots,Onion,"[""Carrots"",""Onion"",""Vegetable Broth"",""Thyme""]",25,British,Breakfast,2
Brazilian Pepper and Garlic Shrimp,Pepper,Garlic,"[""Pepper"",""Garlic"",""Shrimp"",""Olive Oil"",""Parsley""]",30,Brazilian,Lunch,3
Japanese Potatoes and Brown Sugar Dumplings,Potatoes,Brown Sugar,"[""Potatoes"",""Brown Sugar"",""Soy Sauce"",""Ginger""]",50,Japanese,Appetizers,4
Spanish Heavy Cream and Avocado Smoothie,Heavy Cream,Avocado,"[""Heavy Cream"",""Avocado"",""Honey"",""Lime Juice""]",10,Spanish,Drinks,1
Moroccan Lemon and Mushrooms Tagine,Lemon,Mushrooms,"[""Lemon"",""Mushrooms"",""Olives"",""Couscous"",""Spices""]",40,Moroccan,Lunch,3
Moroccan Eggs and Peanut Butter Stew,Eggs,Peanut Butter,"[""Eggs"",""Peanut Butter"",""Onion"",""Tomato"",""Spices""]",45,Moroccan,Dinner,2
German Tomatoes and Flour Crackers,Tomatoes,Flour,"[""Tomatoes"",""Flour"",""Salt"",""Pepper"",""Water""]",25,German,Appetizers,1
Indian Cheese and Mayonnaise Sandwich,Cheese,Mayonnaise,"[""Cheese"",""Mayonnaise"",""Bread"",""Lettuce"",""Tomato""]",15,Indian,Breakfast,1
Chinese Butter and Nutmeg Hot Drink,Butter,Nutmeg,"[""Butter"",""Nutmeg"",""Water"",""Sugar""]",5,Chinese,Drinks,1
Spanish Soy Sauce and Salmon Scramble,Soy Sauce,Salmon,"[""Soy Sauce"",""Salmon"",""Eggs"",""Onion"",""Garlic""]",20,Spanish,Breakfast,2
Japanese Broccoli and Lemon Salad,Broccoli,Lemon,"[""Broccoli"",""Lemon"",""Lettuce"",""Cucumber"",""Dressing""]",10,Japanese,Lunch,1
Mediterranean Yeast and Cinnamon Bread,Yeast,Cinnamon,"[""Yeast"",""Cinnamon"",""Flour"",""Water"",""Sugar""]",60,Mediterranean,Dinner,3
American Tuna and Yeast Melt,Tuna,Yeast,"[""Tuna"",""Yeast"",""Cheese"",""Bread"",""Mayonnaise""]",25,American,Breakfast,2
French Milk and Sausage Soup,Milk,Sausage,"[""Milk"",""Sausage"",""Onion"",""Potatoes"",""Carrots""]",35,French,Desserts,2
Italian Ketchup and Vinegar Bruschetta,Ketchup,Vinegar,"[""Ketchup"",""Vinegar"",""Bread"",""Garlic"",""Olive Oil""]",15,Italian,Breakfast,1
British Brown Sugar and Potato Dessert,Brown Sugar,Potatoes,"[""Brown Sugar"",""Potatoes""]",35,British,Desserts,2
Thai Chicken and Carrot Curry,Chicken Breast,Carrots,"[""Chicken Breast"",""Carrots""]",25,Thai,Lunch,3
Vietnamese Basil and Ketchup Salad,Basil,Ketchup,"[""Basil"",""Ketchup""]",15,Vietnamese,Lunch,1
Korean Tuna and Spinach Pancake,Spinach,Tuna,"[""Spinach"",""Tuna""]",20,Korean,Appetizers,2
Lebanese Ground Beef and Mustard Cocktail,Mustard,Ground Beef,"[""Mustard"",""Ground Beef""]",5,Lebanese,Drinks,1
Ethiopian Celery and Sugar Cereal,Celery,Sugar,"[""Celery"",""Sugar""]",10,Ethiopian,Breakfast,1
Peruvian Pasta with Butter Sauce,Pasta,Butter,"[""Pasta"",""Butter""]",40,Peruvian,Dinner,3
Brazilian Vinegar and Yogurt Drink,Vinegar,Yogurt,"[""Vinegar"",""Yogurt""]",5,Brazilian,Drinks,1
Mexican Vanilla Cream,Vanilla Extract,Heavy Cream,"[""Vanilla Extract"",""Heavy Cream""]",15,Mexican,Lunch,2
Greek Avocado and Vanilla Toast,Avocado,Vanilla Extract,"[""Avocado"",""Vanilla Extract""]",10,Greek,Breakfast,1
Chinese Nutmeg and Basil Tart,Nutmeg,Basil,"[""Nutmeg"",""Basil"",""Sugar"",""Soy Sauce"",""Ginger""]",30,Chinese,Desserts,1
Lebanese Sausage and Chocolate Chips Pancakes,Sausage,Chocolate Chips,"[""Sausage"",""Chocolate Chips"",""Milk"",""Eggs"",""Vanilla Extract""]",45,Lebanese,Desserts,2
Spanish Flour and Broccoli Fritters,Flour,Broccoli,"[""Flour"",""Broccoli"",""Eggs"",""Salt"",""Pepper""]",60,Spanish,Dinner,3
Moroccan Honey and Soy Sauce Glazed Chicken,Honey,Soy Sauce,"[""Honey"",""Soy Sauce"",""Garlic"",""Ginger"",""Sesame Oil""]",35,Moroccan,Dinner,4
Ethiopian Garlic and Milk Gravy,Garlic,Milk,"[""Garlic"",""Milk"",""Butter"",""Salt"",""Pepper""]",25,Ethiopian,Dinner,2
American Maple Syrup and Mustard Cookies,Maple Syrup,Mustard,"[""Maple Syrup"",""Mustard"",""Baking Soda"",""Flour"",""Vanilla Extract""]",15,American,Desserts,1
Mediterranean Baking Powder and Parsley Drink,Baking Powder,Parsley,"[""Baking Powder"",""Parsley"",""Lemon Juice"",""Olive Oil"",""Water""]",5,Mediterranean,Drinks,3
Japanese Cinnamon and Celery Stir-Fry,Cinnamon,Celery,"[""Cinnamon"",""Celery"",""Soy Sauce"",""Rice Wine"",""Sesame Oil""]",20,Japanese,Lunch,2
Thai Ground Beef and Pasta Noodles,Ground Beef,Pasta,"[""Ground Beef"",""Pasta"",""Soy Sauce"",""Chili"",""Garlic""]",40,Thai,Lunch,3
British Chocolate Chips and Sour Cream Smoothie,Chocolate Chips,Sour Cream,"[""Chocolate Chips"",""Sour Cream"",""Milk"",""Sugar"",""Vanilla Extract""]",10,British,Drinks,1
Cuban Chocolate and Black Olives Salad,Parsley,Chicken Breast,"[""Parsley"",""Chicken Breast"",""Chocolate"",""Black Olives"",""Cumin""]",35,Indian,Breakfast,3
Kenyan Coconut and Milk Ice Cream,Mushrooms,Olive Oil,"[""Mushrooms"",""Olive Oil"",""Coconut"",""Milk"",""Vanilla Extract""]",45,Korean,Desserts,2
Syrian Lemon and Peanut Stew,Salmon,Cheese,"[""Salmon"",""Cheese"",""Lemon"",""Peanut"",""Paprika""]",60,Mexican,Breakfast,4
Moroccan Almond and Avocado Crepes,Onion,Honey,"[""Onion"",""Honey"",""Almond"",""Avocado"",""Salt""]",25,Brazilian,Desserts,1
Spanish Avocado and Yogurt Shake,Sugar,Tomatoes,"[""Sugar"",""Tomatoes"",""Avocado"",""Yogurt"",""Cinnamon""]",15,German,Drinks,2
Argentinian Pineapple and Yogurt Pancakes,Rice,Rice,"[""Rice"",""Pineapple"",""Yogurt"",""Butter"",""Sugar""]",40,Peruvian,Drinks,3
Irish Chicken and Almond Pie,Peanut Butter,Cilantro,"[""Peanut Butter"",""Cilantro"",""Chicken"",""Almond"",""Salt""]",55,Greek,Desserts,4
Egyptian Strawberry and Chocolate Muffins,Mayonnaise,Spinach,"[""Mayonnaise"",""Spinach"",""Strawberry"",""Chocolate"",""Flour""]",30,French,Breakfast,2
Filipino Chili Powder and Peas Curry,Yogurt,Baking Powder,"[""Yogurt"",""Baking Powder"",""Chili Powder"",""Peas"",""Cumin""]",50,Italian,Desserts,3
Cambodian Coconut and Basil Soup,Jam,Eggs,"[""Jam"",""Eggs"",""Coconut"",""Basil"",""Salt""]",20,Vietnamese,Dinner,1
